user_id,vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed_kwh,charging_duration_hours,charging_rate_kw,charging_cost_usd,time_of_day,day_of_week,state_of_charge_start,state_of_charge_end,distance_driven_since_last_chargekm,temperature_c,vehicle_age_years,charger_type,user_type
User_1,BMW i3,108.4630074128,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.7123457349,0.5913634254,36.389180567,13.0877167918,Evening,Tuesday,29.3715759791,86.1199624446,293.6021106383,27.9479530558,2.0,DC Fast Charger,Commuter
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.3392752037,3.1336520527,30.6777349397,21.1284479291,Morning,Monday,10.1157776417,84.6643436279,112.1128036822,14.3110256604,3.0,Level 1,Casual Driver
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.1288757001,2.4526527258,27.5135925588,35.6672704236,Morning,Thursday,6.8546044444,69.9176152402,71.7992529259,21.0020018361,2.0,Level 2,Commuter
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.4578239885,1.2664308046000001,32.8828697574,13.0362388339,Evening,Saturday,83.1200029607,99.6243276312,199.5777845163,38.3163131604,1.0,Level 1,Long-Distance Traveler
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.6291041677,2.0197650866,10.2157120712,10.161471171,Morning,Saturday,54.2589496912,63.7437860362,203.661846558,-7.8341990272,1.0,Level 1,Long-Distance Traveler
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.1811371425,1.1676401540999999,14.3345227761,36.900340778,Evening,Saturday,75.217748337,71.9822875712,143.6800461073,-5.2742177965,0.0,DC Fast Charger,Long-Distance Traveler
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.8621399883,3.5396190263,26.18518786,22.2142251757,Evening,Friday,60.7517807598,70.7960969015,81.338008908,27.5513346807,4.0,Level 2,Commuter
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.4676168584,2.6553964456,26.7029077655,9.7968213213,Afternoon,Monday,56.201703033,63.7868153318,116.5431657812,-4.417459666,0.0,Level 2,Long-Distance Traveler
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.5923722822,1.7242035991,14.2949229267,32.4650050721,Evening,Wednesday,33.4662002633,92.9614209036,208.2597424944,22.5167064268,4.0,Level 1,Commuter
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.8686074513,2.026874691,11.7609997152,21.3123024512,Morning,Wednesday,27.3994546256,70.0533813778,54.0063091999,27.5120193646,2.8303813069,DC Fast Charger,Commuter
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.2061974774,2.6486354477000003,10.3107011129,38.2212307041,Night,Thursday,76.0865655704,82.2655816268,64.6346437489,0.5004335644,3.0,DC Fast Charger,Casual Driver
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.5649294841,2.0578886215,4.4648226289,14.0508613521,Evening,Sunday,14.618902372099999,85.8574941542,194.7638066817,34.2626112732,0.0,DC Fast Charger,Long-Distance Traveler
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.2564529085,3.065584752,5.523688619,10.9721359972,Afternoon,Monday,19.2054469498,51.6264827293,249.1275965154,23.6629653623,0.0,Level 2,Casual Driver
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.5610643252,3.5909657181,19.7690987176,37.4418566029,Morning,Friday,25.7754153898,69.2012290988,159.231610219,34.1103486386,7.0,Level 2,Commuter
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.9275452909,3.4218093378,24.2111501171,18.5528156775,Afternoon,Monday,71.6835438351,63.7066379407,155.3606054368,39.5054456877,4.0,Level 1,Casual Driver
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.3543178846,2.7032861275,11.1124988417,33.0934927111,Evening,Monday,10.6771537294,72.4034701523,247.6594369215,-8.3021368991,1.5352340878000001,DC Fast Charger,Long-Distance Traveler
User_17,BMW i3,97.6818122298,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.7269376807,3.4586802788,49.4027386157,17.4948084611,Evening,Thursday,67.5919709108,89.9422293649,237.3064209428,4.4153296188,7.0,DC Fast Charger,Commuter
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.8240404737,0.8482182678,6.6142801247000005,6.430589212,Evening,Friday,57.5951951195,74.9619503471,22.0068291634,18.4057090503,6.0,Level 2,Casual Driver
User_19,Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.6380181917,0.8075321583,20.490846046,25.0787937102,Evening,Saturday,55.517050874,52.7134886858,280.8620709756,37.4303565323,0.0,Level 1,Long-Distance Traveler
User_20,BMW i3,50.0,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.4824843076,2.580925354,45.2914353465,7.0908442006,Morning,Wednesday,12.7548775717,116.0956568894,243.2557694697,9.2024098919,3.0,Level 2,Long-Distance Traveler
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.2790666736,3.1688728922,30.489960234,28.872894608,Night,Tuesday,16.5455123652,77.9363271395,15.420444596,33.9803101031,3.0,Level 2,Casual Driver
User_22,Hyundai Kona,62.0,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.1350316162,2.9317614951,25.6037993318,34.853234401899996,Evening,Sunday,71.5303121297,75.974351587,219.6263569214,-2.7550693317,5.0,Level 1,Commuter
User_23,BMW i3,75.0,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.1964295897,2.5628173043,19.1948828371,14.8561312186,Afternoon,Saturday,49.0242391095,64.4818739376,298.1881223184,39.9589373168,4.2579367028,DC Fast Charger,Long-Distance Traveler
User_24,Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.4471263203,2.0714292092,49.710306969,38.4060616961,Morning,Friday,19.2331391273,74.006150881,280.9154682265,3.5808399539,5.0,DC Fast Charger,Commuter
User_25,Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.6043846825,0.9571376601,11.2385386268,24.0375346885,Morning,Wednesday,65.4868865811,65.3520962745,173.4715265053,35.977821918000004,4.0,Level 1,Long-Distance Traveler
User_26,Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.1780034999,3.6041735354,12.3186147959,38.7631938251,Morning,Saturday,80.3440837271,79.9955631312,82.7546139401,21.5368439684,1.0,DC Fast Charger,Commuter
User_27,Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.4877512248,3.6525403354,36.1823718837,27.4483108843,Afternoon,Thursday,88.7484790715,87.8240289988,80.9126651231,29.8722098731,0.3612151658,Level 1,Commuter
User_28,Nissan Leaf,50.0,Station_340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,10.3385177239,1.5477137177,45.7767311943,9.8558268929,Night,Sunday,98.3327953116,94.5048517697,162.6865443608,5.5047587284,0.0,Level 1,Long-Distance Traveler
User_29,BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.6844845866,2.4396779382,48.6487231908,25.6171039958,Afternoon,Friday,34.727639096,54.4020503852,152.2598669908,20.3785623103,3.0,Level 2,Casual Driver
User_30,BMW i3,75.0,Station_438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,56.5932568591,3.153257255,45.8117310024,33.1320917802,Afternoon,Friday,29.2076717023,85.0081062407,186.1557321013,12.3334153739,0.0,DC Fast Charger,Casual Driver
User_31,Chevy Bolt,100.0,Station_239,New York,2024-01-02 06:00:00,2024-01-02 09:54:00,19.4738005954,1.4355327873000001,7.0439363423,36.9452729152,Afternoon,Wednesday,31.3207869795,78.0566528179,152.2598669908,8.3529060765,2.0,DC Fast Charger,Casual Driver
User_32,BMW i3,100.0,Station_58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,38.2891993355,2.0076640543,12.064391459,17.0117829455,Evening,Wednesday,75.6447784791,65.6173071859,238.9093109631,2.273162901,6.0,Level 1,Commuter
User_33,BMW i3,100.0,Station_198,New York,2024-01-02 08:00:00,2024-01-02 09:58:00,16.1362387254,1.3069272717,21.5178150486,26.4381942375,Evening,Monday,23.6039914321,88.2000728014,35.5038831936,39.3840139153,1.0,Level 2,Casual Driver
User_34,Tesla Model 3,62.0,Station_211,Houston,2024-01-02 09:00:00,2024-01-02 12:03:00,60.067085089,0.9991001884,7.651570047,18.0343900405,Afternoon,Monday,22.8814666259,51.434278682,46.3575588606,13.9915974832,1.0,Level 2,Casual Driver
User_35,Chevy Bolt,75.0,Station_402,Houston,2024-01-02 10:00:00,2024-01-02 13:32:00,57.724379461,1.873581597,4.4856471052,35.5030001703,Afternoon,Friday,41.8724796424,79.6479727749,157.6146540081,28.4298073766,1.8091728675,DC Fast Charger,Long-Distance Traveler
User_36,Hyundai Kona,75.0,Station_390,New York,2024-01-02 11:00:00,2024-01-02 14:16:00,37.3745160608,2.8916769845,18.8658019609,29.8662499259,Evening,Tuesday,24.4922085844,73.3801757259,76.2035392186,59.931973866,4.0,Level 1,Commuter
User_37,Chevy Bolt,75.0,Station_45,Chicago,2024-01-02 12:00:00,2024-01-02 15:10:00,39.94056362,3.4700034335,28.6251993268,15.8553274306,Evening,Thursday,85.8575557996,50.4036547409,102.4303021821,31.4613090168,1.0,DC Fast Charger,Casual Driver
User_38,Hyundai Kona,75.0,Station_97,New York,2024-01-02 13:00:00,2024-01-02 13:43:00,73.3866195228,1.0404523052,38.4508319009,15.8827039838,Night,Wednesday,49.2753875282,94.5970819042,42.095743944,33.9295703727,6.0,DC Fast Charger,Long-Distance Traveler
User_39,Tesla Model 3,85.0,Station_279,Los Angeles,2024-01-02 14:00:00,2024-01-02 15:25:00,61.5207598608,1.280410708,12.5102489624,26.5057129811,Afternoon,Monday,87.98462138,79.3884433832,141.2437534979,5.7610506735,7.0,Level 2,Commuter
User_40,Nissan Leaf,100.0,Station_23,Houston,2024-01-02 15:00:00,2024-01-02 16:50:00,68.1778500364,3.2424460582,23.311619083,8.4985719368,Morning,Thursday,17.0404200245,56.078651008,130.3760137621,-3.1914553656,2.0,Level 2,Long-Distance Traveler
User_41,BMW i3,79.7992037611,Station_410,Los Angeles,2024-01-02 16:00:00,2024-01-02 18:58:00,67.5180582234,1.9623405402,6.8978783298,29.2223619495,Night,Sunday,80.8625886336,62.5253177656,119.6309923349,35.2331584866,1.9692327223000001,Level 2,Casual Driver
User_42,Tesla Model 3,100.0,Station_461,Houston,2024-01-02 17:00:00,2024-01-02 18:15:00,39.3987423561,2.3977153605,20.460364869,26.6197177488,Morning,Saturday,28.2522982607,96.2870922388,111.0165395016,19.7810838915,2.9416632351,Level 2,Commuter
User_43,BMW i3,85.0,Station_391,Houston,2024-01-02 18:00:00,2024-01-02 20:53:00,12.0493197062,1.3738813579,29.4689443578,32.042098599,Night,Saturday,36.636852158,66.9761043237,83.2452214256,39.4161309244,4.0,Level 1,Commuter
User_44,Nissan Leaf,48.7964826397,Station_335,San Francisco,2024-01-02 19:00:00,2024-01-02 19:45:00,77.0536063752,3.0302026852,8.3880395381,6.3646296936,Afternoon,Friday,15.1441224713,84.3423268686,144.0139811926,22.0694708006,1.0,DC Fast Charger,Casual Driver
User_45,Nissan Leaf,75.0,Station_44,Los Angeles,2024-01-02 20:00:00,2024-01-02 22:29:00,42.6914053796,3.2960565891,5.1146133664,30.0379688884,Morning,Wednesday,15.220938965,132.9520105496,49.3842663642,32.0145765399,3.680052856,Level 2,Long-Distance Traveler
User_46,Tesla Model 3,62.0,Station_27,Los Angeles,2024-01-02 21:00:00,2024-01-02 22:53:00,46.8071959448,3.8779924526,16.9183319837,10.6088757878,Evening,Saturday,49.2987655066,90.970675227,210.1710971911,-0.0390790306,1.0,DC Fast Charger,Commuter
User_47,Nissan Leaf,75.0,Station_282,San Francisco,2024-01-02 22:00:00,2024-01-03 01:06:00,67.4754661401,2.1051170789,49.6007996485,19.0307002127,Night,Sunday,63.0359418744,81.7509535036,97.4539049288,3.1941246425,5.0,Level 1,Commuter
User_48,Hyundai Kona,62.0,Station_97,Chicago,2024-01-02 23:00:00,2024-01-02 23:37:00,30.7109340271,1.633668608,6.3526614453,18.1318317119,Morning,Wednesday,76.1200533585,76.6824309059,18.9345154885,27.8951767792,0.0,Level 2,Commuter
User_49,Nissan Leaf,85.0,Station_463,Los Angeles,2024-01-03 00:00:00,2024-01-03 01:57:00,42.6914053796,1.7434352631999999,14.1496661871,13.112873666,Night,Monday,77.8094228183,87.9481144809,212.9403418083,-4.4466706703,1.0,Level 1,Casual Driver
